"firstclassmedium","Royal Mail Standard First Class Medium Parcel",UK_STANDARD_FIRST_CLASS_MEDIUM_PARCEL,0,20,20
"firstclassmedium","Royal Mail Standard First Class Medium Parcel",UK_STANDARD_FIRST_CLASS_MEDIUM_PARCEL,0,20,20
"firstclassmedium","Royal Mail Standard First Class Medium Parcel",UK_STANDARD_FIRST_CLASS_MEDIUM_PARCEL,0,20,20
"firstclassrecordedsignedforsmall","Royal Mail First Class Parcel Small - Signed For",UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_SMALL_PARCEL,0,50,50
"firstclassrecordedsignedforsmall","Royal Mail First Class Parcel Small - Signed For",UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_SMALL_PARCEL,0,50,50
"firstclassrecordedsignedformedium","Royal Mail First Class Parcel Medium - Signed For",UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_MEDIUM_PARCEL,0,50,50
"firstclassrecordedsignedformedium","Royal Mail First Class Parcel Medium - Signed For",UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_MEDIUM_PARCEL,0,50,50
"firstclassrecordedsignedformedium","Royal Mail First Class Parcel Medium - Signed For",UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_MEDIUM_PARCEL,0,50,50
"firstclassrecordedsignedformedium","Royal Mail First Class Parcel Medium - Signed For",UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_MEDIUM_PARCEL,0,50,50
"firstclassrecordedsignedformedium","Royal Mail First Class Parcel Medium - Signed For",UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_MEDIUM_PARCEL,0,50,50
