WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER_EXTRA_INSURANCE,0.011,0.020,8.83,250,"Royal Mail International Tracked and Signed Letter"
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER_EXTRA_INSURANCE,0.021,0.100,9.75,250,"Royal Mail International Tracked and Signed Letter"
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.001,0.100,11.20,250,"Royal Mail International Tracked and Signed Large Letter"
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.101,0.250,12.05,250,"Royal Mail International Tracked and Signed Large Letter"
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.251,0.500,14.85,250,"Royal Mail International Tracked and Signed Large Letter"
WORLD_ZONE_ONE_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,0.501,0.750,16.95,250,"Royal Mail International Tracked and Signed Large Letter"
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LETTER,0.001,0.010,6.00,50,"Royal Mail International Signed"
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LETTER,0.011,0.020,6.33,50,"Royal Mail International Signed"
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LETTER,0.020,0.100,7.25,50,"Royal Mail International Signed"
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,0.001,0.010,8.50,250,"Royal Mail International Signed"
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,0.011,0.020,8.83,250,"Royal Mail International Signed"
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,0.020,0.100,9.75,250,"Royal Mail International Signed"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER,0.001,0.010,6.00,50,"Royal Mail International Tracked and Signed Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER,0.011,0.020,6.33,50,"Royal Mail International Tracked and Signed Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER,0.021,0.100,7.25,50,"Royal Mail International Tracked and Signed Letter"
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER,0.001,0.100,8.90,50,"Royal Mail International Tracked and Signed Large Letter"
