WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LETTER,0,50,50,International Signed Letter,internationallettersigned
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER,0,50,50,International Signed Large Letter,internationalsignedlargeletter
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL,0,50,50,International Signed Small Parcel,internationalsignedsmallparcel
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250,International Signed Letter,internationallettersigned
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250,International Signed Large Letter,internationalsignedlargeletter
WORLD_ZONE_ONE_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250,International Signed Small Parcel,internationalsignedsmallparcel
WORLD_ZONE_ONE_INTERNATIONAL_ECONOMY_LETTER,0,20,20,International Economy Letter,internationaleconomyletter
WORLD_ZONE_ONE_INTERNATIONAL_ECONOMY_LARGE_LETTER,0,20,20,International Economy Large Letter,internationaleconomylargeletter
WORLD_ZONE_ONE_INTERNATIONAL_ECONOMY_SMALL_PARCEL,0,20,20,International Economy Small Parcel,internationaleconomysmallparcel
WORLD_ZONE_TWO_INTERNATIONAL_STANDARD_LETTER,0,20,20,International Standard Letter,internationalstandardletter
WORLD_ZONE_TWO_INTERNATIONAL_STANDARD_LARGE_LETTER,0,20,20,International Standard Large Letter,internationalstandardlargeletter
WORLD_ZONE_TWO_INTERNATIONAL_STANDARD_SMALL_PARCEL,0,20,20,International Standard Small Parcel,internationalstandardsmallparcel
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER,0,50,50,International Tracked and Signed Letter,internationallettertrackedsigned
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER,0,50,50,International Tracked and Signed Large Letter,internationallargelettertrackedandsigned
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_SMALL_PARCEL,0,50,50,International Tracked and Signed Small Parcel,internationalsmallparceltrackedsigned
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250,International Tracked and Signed Letter,internationallettertrackedsigned
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250,International Tracked and Signed Large Letter,internationallargelettertrackedandsigned
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_AND_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250,International Tracked and Signed Small Parcel,internationalsmallparceltrackedsigned
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_LETTER,0,50,50,International Tracked Letter,internationaltrackedletter
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_LARGE_LETTER,0,50,50,International Tracked Large Letter,internationaltrackedlargeletter
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_SMALL_PARCEL,0,50,50,International Tracked Small Parcel,internationaltrackedsmallparcel
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_LETTER_EXTRA_INSURANCE,50.01,250,250,International Tracked Letter,internationaltrackedletter
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250,International Tracked Large Letter,internationaltrackedlargeletter
WORLD_ZONE_TWO_INTERNATIONAL_TRACKED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250,International Tracked Small Parcel,internationaltrackedsmallparcel
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LETTER,0,50,50,International Signed Letter,internationallettersigned
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LARGE_LETTER,0,50,50,International Signed Large Letter,internationalsignedlargeletter
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_SMALL_PARCEL,0,50,50,International Signed Small Parcel,internationalsignedsmallparcel
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LETTER_EXTRA_INSURANCE,50.01,250,250,International Signed Letter,internationallettersigned
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_LARGE_LETTER_EXTRA_INSURANCE,50.01,250,250,International Signed Large Letter,internationalsignedlargeletter
WORLD_ZONE_TWO_INTERNATIONAL_SIGNED_SMALL_PARCEL_EXTRA_INSURANCE,50.01,250,250,International Signed Small Parcel,internationalsignedsmallparcel
WORLD_ZONE_TWO_INTERNATIONAL_ECONOMY_LETTER,0,20,20,International Economy Letter,internationaleconomyletter
WORLD_ZONE_TWO_INTERNATIONAL_ECONOMY_LARGE_LETTER,0,20,20,International Economy Large Letter,internationaleconomylargeletter
WORLD_ZONE_TWO_INTERNATIONAL_ECONOMY_SMALL_PARCEL,0,20,20,International Economy Small Parcel,internationaleconomysmallparcel
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_500,0,500,500,Special Delivery: Guaranteed by 1pm,specialdelivery1pm
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_1000,501,1000,1000,Special Delivery: Guaranteed by 1pm,specialdelivery1pm
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_2500,1001,2500,2500,Special Delivery: Guaranteed by 1pm,specialdelivery1pm
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_50,0,50,50,Special Delivery: Guaranteed by 9am,specialdelivery9am
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_1000,51,1000,1000,Special Delivery: Guaranteed by 9am,specialdelivery9am
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_2500,1001,2500,2500,Special Delivery: Guaranteed by 9am,specialdelivery9am
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_SATURDAY_500,0,500,500,Special Delivery: Guaranteed by 1pm Saturday,specialdelivery1pmsaturday
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_SATURDAY_1000,501,1000,1000,Special Delivery: Guaranteed by 1pm Saturday,specialdelivery1pmsaturday
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_1PM_SATURDAY_2500,1001,2500,2500,Special Delivery: Guaranteed by 1pm Saturday,specialdelivery1pmsaturday
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_SATURDAY_50,0,50,50,Special Delivery: Guaranteed by 9am Saturday,specialdelivery9amsaturday
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_SATURDAY_1000,51,1000,1000,Special Delivery: Guaranteed by 9am Saturday,specialdelivery9amsaturday
UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_SATURDAY_2500,1001,2500,2500,Special Delivery: Guaranteed by 9am Saturday,specialdelivery9amsaturday
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_LETTER,0,50,50,Signed For: First Class Letter,firstclasslettersignedfor
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_LARGE_LETTER,0,50,50,Signed For: First Class Large Letter,firstclasslargelettersignedfor
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_SMALL_PARCEL,0,50,50,Signed For: First Class Small Parcel,firstclasssignedforsmall
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_MEDIUM_PARCEL,0,50,50,Signed For: First Class Medium Parcel,firstclasssignedformedium
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_SECOND_CLASS_LETTER,0,50,50,Signed For: Second Class Letter,secondclasslettersignedfor
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_SECOND_CLASS_LARGE_LETTER,0,50,50,Signed For: Second Class Large Letter,secondclasslargelettersignedfor
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_SECOND_CLASS_SMALL_PARCEL,0,50,50,Signed For: Second Class Small Parcel,secondclasssmallparcelsignedfor
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_SECOND_CLASS_MEDIUM_PARCEL,0,50,50,Signed For: Second Class Medium Parcel,secondclassmediumparcelsignedfor
UK_STANDARD_FIRST_CLASS_LETTER,0,20,20,Standard First Class Letter,letter
UK_STANDARD_FIRST_CLASS_LARGE_LETTER,0,20,20,Standard First Class Large Letter,largeletter
UK_STANDARD_FIRST_CLASS_SMALL_PARCEL,0,20,20,Standard First Class Small Parcel,firstclasssmall
UK_STANDARD_FIRST_CLASS_MEDIUM_PARCEL,0,20,20,Standard First Class Medium Parcel,firstclassmedium
UK_STANDARD_SECOND_CLASS_LETTER,0,20,20,Second Class: Letter,secondclassletter
UK_STANDARD_SECOND_CLASS_LARGE_LETTER,0,20,20,Second Class: Large Letter,secondclasslargeletter
UK_STANDARD_SECOND_CLASS_SMALL_PARCEL,0,20,20,Second Class: Small Parcel,secondclasssmallparcel
UK_STANDARD_SECOND_CLASS_MEDIUM_PARCEL,0,20,20,Second Class: Medium Parcel,secondclassmediumparcel
PARCELFORCE_WORLDWIDE_EXPRESS_9,0,200,200,Parcelforce Worldwide: Express 9,parcelforceworldwideexpress9
PARCELFORCE_WORLDWIDE_EXPRESS_10,0,200,200,Parcelforce Worldwide: Express 10,parcelforceworldwideexpress10
PARCELFORCE_WORLDWIDE_EXPRESS_AM,0,200,200,Parcelforce Worldwide: Express AM,parcelforceworldwideexpressAM
PARCELFORCE_WORLDWIDE_EXPRESS_24,0,100,100,Parcelforce Worldwide: Express 24,parcelforceworldwideexpress24
PARCELFORCE_WORLDWIDE_EXPRESS_48,0,100,100,Parcelforce Worldwide: Express 48,parcelforceworldwideexpress48
PARCELFORCE_WORLDWIDE_EXPRESS_9_SATURDAY,0,200,200,Parcelforce Worldwide: Express 9 Saturday,parcelforceworldwideexpress9saturday
PARCELFORCE_WORLDWIDE_EXPRESS_10_SATURDAY,0,200,200,Parcelforce Worldwide: Express 10 Saturday,parcelforceworldwideexpress10saturday
PARCELFORCE_WORLDWIDE_EXPRESS_AM_SATURDAY,0,200,200,Parcelforce Worldwide: Express AM Saturday,parcelforceworldwideexpressAMsaturday
PARCELFORCE_WORLDWIDE_EXPRESS_24_SATURDAY,0,100,100,Parcelforce Worldwide: Express 24 Saturday,parcelforceworldwideexpress24saturday
PARCELFORCE_WORLDWIDE_EXPRESS_48_SATURDAY,0,100,100,Parcelforce Worldwide: Express 48 Saturday,parcelforceworldwideexpress48saturday
